Date,GOOGLE,AMZN
10/3/05,159.499496,46.009998
10/4/05,155.655655,44.93
10/5/05,155.510513,44.490002
10/6/05,156.531525,44.009998
10/7/05,156.651657,43.720001
10/10/05,155.480484,43.759998
10/11/05,153.203201,43.400002
10/12/05,150.635635,42.549999
10/13/05,148.868866,42.619999
10/14/05,148.218216,43.790001
10/17/05,152.652649,45.02
10/18/05,151.791794,44.650002
10/19/05,154.504501,45.860001
10/20/05,151.751755,45.009998
10/21/05,170.120117,45.950001
10/24/05,174.499496,46.93
10/25/05,173.628632,46.169998
10/26/05,177.897903,39.75
10/27/05,176.706711,39.060001
10/28/05,179.264267,38.950001
10/31/05,186.256256,39.860001
11/1/05,189.879883,40.369999
11/2/05,190.030029,40.75
11/3/05,193.168167,41.560001
11/4/05,195.410416,41.09
11/7/05,197.712708,41.389999
11/8/05,195.145142,41.950001
11/9/05,189.764771,41.400002
11/10/05,195.745743,42.18
11/11/05,195.395401,42.68
11/14/05,198.683685,42.529999
11/15/05,196.596603,44.450001
11/16/05,199.274277,45.299999
11/17/05,201.926926,46.740002
11/18/05,200.305298,47.98
11/21/05,204.884888,47.990002
11/22/05,208.443451,48.849998
11/23/05,211.641647,48.240002
11/25/05,214.524521,48.060001
11/28/05,211.95195,48.349998
11/29/05,201.97197,48.549999
11/30/05,202.657654,48.459999
12/1/05,207.252258,49
12/2/05,209.059052,49.060001
12/5/05,203.128128,48.830002
12/6/05,202.472473,49.259998
12/7/05,202.312317,48.830002
12/8/05,205.530533,48.349998
12/9/05,204.80481,48.740002
12/12/05,206.511505,49.07
12/13/05,208.953949,49.5
12/14/05,209.689697,49.41
12/15/05,211.486481,49.48
12/16/05,215.290283,49.209999
12/19/05,212.512512,48.369999
12/20/05,215.085083,48.139999
12/21/05,213.378372,48.970001
12/22/05,216.236237,49.220001
12/23/05,215.680679,49.220001
12/27/05,212.532532,48.560001
12/28/05,213.558563,48.060001
12/29/05,210.285278,47.990002
12/30/05,207.637634,47.150002
1/3/06,217.83284,47.580002
1/4/06,222.84285,47.25
1/5/06,225.84584,47.650002
1/6/06,233.063065,47.869999
